Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,NASDAQ Symbol,NextShares,Financial Status Clean,CQS Symbol Clean
Y,AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,N, ,N,100.0,N,AFT,N,Non-NASDAQ,AFT
Y,AFTY,Pacer CSOP FTSE China A50 ETF,P, ,Y,100.0,N,AFTY,N,Non-NASDAQ,AFTY
Y,AFYA,Afya Limited - Class A Common Shares,Q,Q,N,100.0,N,AFYA,N,NASDAQ - Normal,Not Reported
Y,AG,First Majestic Silver Corp. Ordinary Shares (Canada),N, ,N,100.0,N,AG,N,Non-NASDAQ,AG
Y,AGBA,AGBA Acquisition Limited - Ordinary Share,Q,S,N,100.0,N,AGBA,N,NASDAQ - Normal,Not Reported
Y,AGBAU,AGBA Acquisition Limited - Unit,Q,S,N,100.0,N,AGBAU,N,NASDAQ - Normal,Not Reported
Y,AGCO,AGCO Corporation Common Stock,N, ,N,100.0,N,AGCO,N,Non-NASDAQ,AGCO
Y,AGD,Aberdeen Global Dynamic Dividend Fund,N, ,N,100.0,N,AGD,N,Non-NASDAQ,AGD
Y,AGE,"AgeX Therapeutics, Inc. Common Stock",A, ,N,100.0,N,AGE,N,Non-NASDAQ,AGE
Y,AGEN,Agenus Inc. - Common Stock,Q,S,N,100.0,N,AGEN,N,NASDAQ - Normal,Not Reported
Y,AGFS,"AgroFresh Solutions, Inc. - Common Stock",Q,Q,N,100.0,N,AGFS,N,NASDAQ - Normal,Not Reported
Y,AGG,iShares Core U.S. Aggregate Bond ETF,P, ,Y,100.0,N,AGG,N,Non-NASDAQ,AGG
Y,AGGP,IQ Enhanced Core Plus Bond U.S. ETF,P, ,Y,100.0,N,AGGP,N,Non-NASDAQ,AGGP
Y,AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,P, ,Y,100.0,N,AGGY,N,Non-NASDAQ,AGGY
Y,AGI,Alamos Gold Inc. Class A Common Shares,N, ,N,100.0,N,AGI,N,Non-NASDAQ,AGI
Y,AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",Q,Q,N,100.0,N,AGIO,N,NASDAQ - Normal,Not Reported
Y,AGLE,"Aeglea BioTherapeutics, Inc. - Common Stock",Q,G,N,100.0,N,AGLE,N,NASDAQ - Normal,Not Reported
Y,AGM,Federal Agricultural Mortgage Corporation Common Stock,N, ,N,100.0,N,AGM,N,Non-NASDAQ,AGM
Y,AGM$A,"Federal Agricultural Mortgage Corporation 5.875% Non-CUmulative Preferred Stock, Series A",N, ,N,100.0,N,AGM-A,N,Non-NASDAQ,AGMpA
Y,AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,Q,S,N,100.0,N,AGMH,N,NASDAQ - Deficient,Not Reported
Y,AGN,Allergan plc Ordinary Shares,N, ,N,100.0,N,AGN,N,Non-NASDAQ,AGN
Y,AGNC,AGNC Investment Corp. - Common Stock,Q,Q,N,100.0,N,AGNC,N,NASDAQ - Normal,Not Reported
Y,AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Q,Q,N,100.0,N,AGNCM,N,NASDAQ - Normal,Not Reported
Y,AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",Q,Q,N,100.0,N,AGNCN,N,NASDAQ - Normal,Not Reported
Y,AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",Q,Q,N,100.0,N,AGNCO,N,NASDAQ - Normal,Not Reported
Y,AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Q,Q,N,100.0,N,AGNCP,N,NASDAQ - Normal,Not Reported
Y,AGND,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,Q,G,Y,100.0,N,AGND,N,NASDAQ - Normal,Not Reported
Y,AGO,Assured Guaranty Ltd. Common Stock,N, ,N,100.0,N,AGO,N,Non-NASDAQ,AGO
Y,AGQ,ProShares Ultra Silver,P, ,Y,100.0,N,AGQ,N,Non-NASDAQ,AGQ
Y,AGR,"Avangrid, Inc. Common Stock",N, ,N,100.0,N,AGR,N,Non-NASDAQ,AGR
Y,AGRO,Adecoagro S.A. Common Shares,N, ,N,100.0,N,AGRO,N,Non-NASDAQ,AGRO
Y,AGRX,"Agile Therapeutics, Inc. - Common Stock",Q,S,N,100.0,N,AGRX,N,NASDAQ - Normal,Not Reported
Y,AGS,"PlayAGS, Inc. Common Stock",N, ,N,100.0,N,AGS,N,Non-NASDAQ,AGS
Y,AGT,iShares MSCI Argentina and Global Exposure ETF,Z, ,Y,100.0,N,AGT,N,Non-NASDAQ,AGT
Y,AGTC,Applied Genetic Technologies Corporation - Common Stock,Q,G,N,100.0,N,AGTC,N,NASDAQ - Normal,Not Reported
Y,AGX,"Argan, Inc. Common Stock",N, ,N,100.0,N,AGX,N,Non-NASDAQ,AGX
Y,AGYS,"Agilysys, Inc. - Common Stock",Q,Q,N,100.0,N,AGYS,N,NASDAQ - Normal,Not Reported
Y,AGZ,iShares  Agency Bond ETF,P, ,Y,100.0,N,AGZ,N,Non-NASDAQ,AGZ
Y,AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,Q,G,Y,100.0,N,AGZD,N,NASDAQ - Normal,Not Reported
Y,AHC,A.H. Belo Corporation (TX) Common Stock,N, ,N,100.0,N,AHC,N,Non-NASDAQ,AHC
Y,AHCO,AdaptHealth Corp.  - Class A Common Stock,Q,S,N,100.0,N,AHCO,N,NASDAQ - Normal,Not Reported
Y,AHH,"Armada Hoffler Properties, Inc. Common Stock",N, ,N,100.0,N,AHH,N,Non-NASDAQ,AHH
Y,AHPI,"Allied Healthcare Products, Inc. - Common Stock",Q,S,N,100.0,N,AHPI,N,NASDAQ - Normal,Not Reported
Y,AHT,Ashford Hospitality Trust Inc Common Stock,N, ,N,100.0,N,AHT,N,Non-NASDAQ,AHT
Y,AI,Arlington Asset Investment Corp Class A (new),N, ,N,100.0,N,AI,N,Non-NASDAQ,AI
Y,AIA,iShares Asia 50 ETF,Q,G,Y,100.0,N,AIA,N,NASDAQ - Normal,Not Reported
Y,AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,N, ,N,100.0,N,AIC,N,Non-NASDAQ,AIC
Y,AIEQ,AI Powered Equity ETF,P, ,Y,100.0,N,AIEQ,N,Non-NASDAQ,AIEQ
Y,AIF,Apollo Tactical Income Fund Inc. Common Stock,N, ,N,100.0,N,AIF,N,Non-NASDAQ,AIF
Y,AIG,"American International Group, Inc. New Common Stock",N, ,N,100.0,N,AIG,N,Non-NASDAQ,AIG
Y,AIH,Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares,Q,G,N,100.0,N,AIH,N,NASDAQ - Normal,Not Reported
Y,AIHS,Senmiao Technology Limited - Common Stock,Q,S,N,100.0,N,AIHS,N,NASDAQ - Deficient,Not Reported
Y,AIIQ,AI Powered International Equity ETF,P, ,Y,100.0,N,AIIQ,N,Non-NASDAQ,AIIQ
Y,AIKI,AIkido Pharma Inc. - Common Stock,Q,S,N,100.0,N,AIKI,N,NASDAQ - Normal,Not Reported
Y,AIM,AIM ImmunoTech Inc. Common Stock,A, ,N,100.0,N,AIM,N,Non-NASDAQ,AIM
Y,AIMC,Altra Industrial Motion Corp. - Common Stock,Q,Q,N,100.0,N,AIMC,N,NASDAQ - Normal,Not Reported
Y,AIMT,"Aimmune Therapeutics, Inc. - Common Stock",Q,Q,N,100.0,N,AIMT,N,NASDAQ - Normal,Not Reported
Y,AIN,Albany International Corporation Common Stock,N, ,N,100.0,N,AIN,N,Non-NASDAQ,AIN
Y,AINC,Ashford Inc. (Holding Company) Common Stock,A, ,N,100.0,N,AINC,N,Non-NASDAQ,AINC
Y,AINV,Apollo Investment Corporation - Closed End Fund,Q,Q,N,100.0,N,AINV,N,NASDAQ - Normal,Not Reported
Y,AIO,AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,N, ,N,100.0,N,AIO,N,Non-NASDAQ,AIO
Y,AIQ,Global X Future Analytics Tech ETF,Q,G,Y,100.0,N,AIQ,N,NASDAQ - Normal,Not Reported
Y,AIR,AAR Corp. Common Stock,N, ,N,100.0,N,AIR,N,Non-NASDAQ,AIR
Y,AIRG,"Airgain, Inc. - Common Stock",Q,S,N,100.0,N,AIRG,N,NASDAQ - Normal,Not Reported
Y,AIRI,Air Industries Group Common Stock,A, ,N,100.0,N,AIRI,N,Non-NASDAQ,AIRI
